"Date","Win7","Android","iOS","Win8.1","OS X","WinXP","Win10","Unknown","Win8","Series 40","Linux","WinVista","Nokia Unknown","Windows Phone","BlackBerry OS","SymbianOS","Samsung","Chrome OS","Playstation","Win2003","Win8.1 RT","LG","Sony Ericsson","Xbox","bada","Tizen","Win98","MeeGo","Win2000","Other"
2015-04,33.71,21.69,10.35,9.87,6.02,6.84,0.08,1.6,2.5,1.5,1.38,1.41,0.48,0.74,0.39,0.42,0.38,0.22,0.08,0.07,0.05,0.03,0.04,0.03,0.03,0.01,0.01,0.01,0.01,0.04
2015-05,32.62,22.76,10.34,9.82,6.46,6.48,0.09,1.72,2.4,1.47,1.29,1.38,0.61,0.76,0.38,0.43,0.36,0.23,0.07,0.07,0.05,0.03,0.04,0.02,0.03,0.01,0.01,0.01,0.01,0.05
2015-06,32.26,23.56,10.6,9.86,6.11,6.02,0.1,1.99,2.21,1.39,1.27,1.28,0.76,0.76,0.44,0.44,0.37,0.17,0.07,0.06,0.05,0.03,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.05
2015-07,31.12,25.62,11.37,9.59,4.9,5.7,0.2,2.28,2.1,1.38,1.12,1.14,0.84,0.85,0.45,0.43,0.36,0.15,0.07,0.06,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.05
2015-08,29.25,27.39,11.11,7.93,4.51,5.36,2.97,2.38,1.9,1.3,1.17,1.07,0.9,0.87,0.54,0.41,0.35,0.16,0.08,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.04,0.02,0.01,0.04
2015-09,28.78,27.52,10.53,7.61,4.82,5.24,4.27,2.37,1.82,1.21,1.2,1.04,0.91,0.85,0.49,0.37,0.34,0.23,0.07,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0.05,0.01,0.01,0.04
2015-10,28.05,27.85,10.23,7.31,5.03,5.04,5.02,2.76,1.74,1.17,1.17,0.99,0.99,0.89,0.43,0.36,0.33,0.26,0.07,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0,0.02,0.01,0.04
2015-11,28.16,26.34,10.68,7.44,5.35,4.86,5.82,2.98,1.69,1.13,1.08,1,0.94,0.85,0.38,0.33,0.32,0.27,0.07,0.07,0.04,0.04,0.03,0.02,0.02,0.02,0,0.01,0.02,0.04
2015-12,26.66,27.05,10.82,6.82,5.51,4.75,6.67,3.3,1.68,1.09,1.03,1,1.01,0.88,0.42,0.31,0.31,0.29,0.07,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.04
2016-01,26.04,27.42,11.1,6.51,5.04,4.45,7.62,3.52,1.76,1.01,1.02,0.99,0.98,0.84,0.39,0.29,0.29,0.29,0.08,0.09,0.04,0.03,0.03,0.02,0.02,0.02,0.04,0.02,0.02,0.04
2016-02,25.7,27.51,11.04,6.37,5.2,4.24,8.28,3.61,1.68,0.98,1,0.91,0.97,0.82,0.39,0.29,0.29,0.3,0.09,0.06,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.01,0.04
2016-03,24.77,29.34,11.02,5.92,5.08,4.07,8.95,2.95,1.87,0.93,0.95,0.83,0.94,0.77,0.38,0.28,0.29,0.29,0.08,0.07,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.01,0.03
2016-04,23.83,29.9,11.12,5.51,5.09,3.99,9.58,3.12,1.81,0.89,0.99,0.79,0.96,0.78,0.4,0.26,0.28,0.3,0.08,0.09,0.03,0.03,0.02,0.03,0.01,0.03,0,0.02,0.01,0.03
